Winner,Loser,Winner_Name,Loser_Name
1,2,['Rafael-Nadal'],['Juan-Monaco']
1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
1,3,['Rafael-Nadal'],['Juan-Martin-Del-Potro']
1,4,['Rafael-Nadal'],['Mardy-Fish']
1,4,['Rafael-Nadal'],['Mardy-Fish']
1,4,['Rafael-Nadal'],['Mardy-Fish']
4,1,['Mardy-Fish'],['Rafael-Nadal']
1,5,['Rafael-Nadal'],['Roger-Federer']
1,5,['Rafael-Nadal'],['Roger-Federer']
1,5,['Rafael-Nadal'],['Roger-Federer']
5,1,['Roger-Federer'],['Rafael-Nadal']
1,6,['Rafael-Nadal'],['Jo-Wilfried-Tsonga']
6,1,['Jo-Wilfried-Tsonga'],['Rafael-Nadal']
6,1,['Jo-Wilfried-Tsonga'],['Rafael-Nadal']
1,7,['Rafael-Nadal'],['Guillermo-Garcia-Lopez']
8,1,['Florian-Mayer'],['Rafael-Nadal']
1,9,['Rafael-Nadal'],['Milos-Raonic']
1,10,['Rafael-Nadal'],['Santiago-Giraldo']
1,10,['Rafael-Nadal'],['Santiago-Giraldo']
1,11,['Rafael-Nadal'],['Andy-Murray']
1,11,['Rafael-Nadal'],['Andy-Murray']
1,11,['Rafael-Nadal'],['Andy-Murray']
1,11,['Rafael-Nadal'],['Andy-Murray']
11,1,['Andy-Murray'],['Rafael-Nadal']
1,12,['Rafael-Nadal'],['Richard-Gasquet']
1,12,['Rafael-Nadal'],['Richard-Gasquet']
1,12,['Rafael-Nadal'],['Richard-Gasquet']
1,13,['Rafael-Nadal'],['David-Nalbandian']
1,14,['Rafael-Nadal'],['Gilles-Muller']
1,14,['Rafael-Nadal'],['Gilles-Muller']
1,15,['Rafael-Nadal'],['Andy-Roddick']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
16,1,['Novak-Djokovic'],['Rafael-Nadal']
1,17,['Rafael-Nadal'],['Fernando-Verdasco']
1,18,['Rafael-Nadal'],['Ivan-Dodig']
18,1,['Ivan-Dodig'],['Rafael-Nadal']
1,19,['Rafael-Nadal'],['Ryan-Sweeting']
1,19,['Rafael-Nadal'],['Ryan-Sweeting']
1,19,['Rafael-Nadal'],['Ryan-Sweeting']
1,20,['Rafael-Nadal'],['Radek-Stepanek']
1,21,['Rafael-Nadal'],['John-Isner']
1,22,['Rafael-Nadal'],['Pablo-Andujar']
1,23,['Rafael-Nadal'],['Ivan-Ljubicic']
1,23,['Rafael-Nadal'],['Ivan-Ljubicic']
1,24,['Rafael-Nadal'],['Robin-Soderling']
1,25,['Rafael-Nadal'],['Feliciano-Lopez']
1,25,['Rafael-Nadal'],['Feliciano-Lopez']
1,26,['Rafael-Nadal'],['Marin-Cilic']
1,26,['Rafael-Nadal'],['Marin-Cilic']
1,27,['Rafael-Nadal'],['Marcos-Baghdatis']
1,28,['Rafael-Nadal'],['Michael-Llodra']
1,29,['Rafael-Nadal'],['Gael-Monfils']
1,30,['Rafael-Nadal'],['David-Ferrer']
1,30,['Rafael-Nadal'],['David-Ferrer']
30,1,['David-Ferrer'],['Rafael-Nadal']
1,31,['Rafael-Nadal'],['Jarkko-Nieminen']
1,32,['Rafael-Nadal'],['Kei-Nishikori']
1,33,['Rafael-Nadal'],['Alexandr-Dolgopolov']
1,34,['Rafael-Nadal'],['Tomas-Berdych']
1,35,['Rafael-Nadal'],['Somdev-K-Devvarman']
1,36,['Rafael-Nadal'],['Ivo-Karlovic']
1,37,['Rafael-Nadal'],['Olivier-Rochus']
1,38,['Rafael-Nadal'],['Bernard-Tomic']
1,39,['Rafael-Nadal'],['Karol-Beck']
1,40,['Rafael-Nadal'],['Ernests-Gulbis']
41,1,['Nikolay-Davydenko'],['Rafael-Nadal']
2,42,['Juan-Monaco'],['Gilles-Simon']
2,4,['Juan-Monaco'],['Mardy-Fish']
2,4,['Juan-Monaco'],['Mardy-Fish']
5,2,['Roger-Federer'],['Juan-Monaco']
5,2,['Roger-Federer'],['Juan-Monaco']
5,2,['Roger-Federer'],['Juan-Monaco']
2,43,['Juan-Monaco'],['Nicolas-Almagro']
2,44,['Juan-Monaco'],['Fabio-Fognini']
2,45,['Juan-Monaco'],['Juan-Carlos-Ferrero']
2,30,['Juan-Monaco'],['David-Ferrer']
30,2,['David-Ferrer'],['Juan-Monaco']
46,2,['Marcel-Granollers'],['Juan-Monaco']
47,2,['Stanislas-Wawrinka'],['Juan-Monaco']
47,2,['Stanislas-Wawrinka'],['Juan-Monaco']
18,2,['Ivan-Dodig'],['Juan-Monaco']
2,48,['Juan-Monaco'],['Janko-Tipsarevic']
48,2,['Janko-Tipsarevic'],['Juan-Monaco']
2,49,['Juan-Monaco'],['Andreas-Seppi']
2,49,['Juan-Monaco'],['Andreas-Seppi']
2,20,['Juan-Monaco'],['Radek-Stepanek']
2,32,['Juan-Monaco'],['Kei-Nishikori']
15,2,['Andy-Roddick'],['Juan-Monaco']
34,2,['Tomas-Berdych'],['Juan-Monaco']
34,2,['Tomas-Berdych'],['Juan-Monaco']
34,2,['Tomas-Berdych'],['Juan-Monaco']
36,2,['Ivo-Karlovic'],['Juan-Monaco']
2,50,['Juan-Monaco'],['Simone-Bolelli']
8,2,['Florian-Mayer'],['Juan-Monaco']
8,2,['Florian-Mayer'],['Juan-Monaco']
2,51,['Juan-Monaco'],['Carlos-Berlocq']
2,52,['Juan-Monaco'],['Mikhail-Kukushkin']
53,2,['Mikhail-Youzhny'],['Juan-Monaco']
17,2,['Fernando-Verdasco'],['Juan-Monaco']
2,29,['Juan-Monaco'],['Gael-Monfils']
25,2,['Feliciano-Lopez'],['Juan-Monaco']
2,54,['Juan-Monaco'],['Grigor-Dimitrov']
6,2,['Jo-Wilfried-Tsonga'],['Juan-Monaco']
2,55,['Juan-Monaco'],['Sergiy-Stakhovsky']
19,2,['Ryan-Sweeting'],['Juan-Monaco']
2,56,['Juan-Monaco'],['Victor-Hanescu']
2,57,['Juan-Monaco'],['Horacio-Zeballos']
2,58,['Juan-Monaco'],['Pablo-Cuevas']
2,59,['Juan-Monaco'],['Eduardo-Schwank']
60,2,['Robin-Haase'],['Juan-Monaco']
61,2,['Adrian-Mannarino'],['Juan-Monaco']
30,3,['David-Ferrer'],['Juan-Martin-Del-Potro']
3,62,['Juan-Martin-Del-Potro'],['Dmitry-Tursunov']
3,63,['Juan-Martin-Del-Potro'],['Kevin-Anderson']
3,63,['Juan-Martin-Del-Potro'],['Kevin-Anderson']
3,63,['Juan-Martin-Del-Potro'],['Kevin-Anderson']
3,64,['Juan-Martin-Del-Potro'],['Sam-Querrey']
46,3,['Marcel-Granollers'],['Juan-Martin-Del-Potro']
3,65,['Juan-Martin-Del-Potro'],['Philipp-Petzschner']
6,3,['Jo-Wilfried-Tsonga'],['Juan-Martin-Del-Potro']
3,66,['Juan-Martin-Del-Potro'],['James-Blake']
66,3,['James-Blake'],['Juan-Martin-Del-Potro']
3,48,['Juan-Martin-Del-Potro'],['Janko-Tipsarevic']
3,48,['Juan-Martin-Del-Potro'],['Janko-Tipsarevic']
3,16,['Juan-Martin-Del-Potro'],['Novak-Djokovic']
16,3,['Novak-Djokovic'],['Juan-Martin-Del-Potro']
3,42,['Juan-Martin-Del-Potro'],['Gilles-Simon']
42,3,['Gilles-Simon'],['Juan-Martin-Del-Potro']
3,49,['Juan-Martin-Del-Potro'],['Andreas-Seppi']
5,3,['Roger-Federer'],['Juan-Martin-Del-Potro']
3,31,['Juan-Martin-Del-Potro'],['Jarkko-Nieminen']
3,26,['Juan-Martin-Del-Potro'],['Marin-Cilic']
26,3,['Marin-Cilic'],['Juan-Martin-Del-Potro']
40,3,['Ernests-Gulbis'],['Juan-Martin-Del-Potro']
3,52,['Juan-Martin-Del-Potro'],['Mikhail-Kukushkin']
3,37,['Juan-Martin-Del-Potro'],['Olivier-Rochus']
3,67,['Juan-Martin-Del-Potro'],['Denis-Istomin']
3,68,['Juan-Martin-Del-Potro'],['Igor-Kunitsyn']
61,3,['Adrian-Mannarino'],['Juan-Martin-Del-Potro']
3,36,['Juan-Martin-Del-Potro'],['Ivo-Karlovic']
3,53,['Juan-Martin-Del-Potro'],['Mikhail-Youzhny']
3,24,['Juan-Martin-Del-Potro'],['Robin-Soderling']
3,24,['Juan-Martin-Del-Potro'],['Robin-Soderling']
3,58,['Juan-Martin-Del-Potro'],['Pablo-Cuevas']
3,17,['Juan-Martin-Del-Potro'],['Fernando-Verdasco']
17,3,['Fernando-Verdasco'],['Juan-Martin-Del-Potro']
3,69,['Juan-Martin-Del-Potro'],['Philipp-Kohlschreiber']
3,69,['Juan-Martin-Del-Potro'],['Philipp-Kohlschreiber']
3,4,['Juan-Martin-Del-Potro'],['Mardy-Fish']
4,3,['Mardy-Fish'],['Juan-Martin-Del-Potro']
3,20,['Juan-Martin-Del-Potro'],['Radek-Stepanek']
3,23,['Juan-Martin-Del-Potro'],['Ivan-Ljubicic']
3,33,['Juan-Martin-Del-Potro'],['Alexandr-Dolgopolov']
3,70,['Juan-Martin-Del-Potro'],['Tommy-Robredo']
3,21,['Juan-Martin-Del-Potro'],['John-Isner']
3,18,['Juan-Martin-Del-Potro'],['Ivan-Dodig']
15,3,['Andy-Roddick'],['Juan-Martin-Del-Potro']
3,71,['Juan-Martin-Del-Potro'],['Lleyton-Hewitt']
27,3,['Marcos-Baghdatis'],['Juan-Martin-Del-Potro']
3,25,['Juan-Martin-Del-Potro'],['Feliciano-Lopez']
8,3,['Florian-Mayer'],['Juan-Martin-Del-Potro']
6,4,['Jo-Wilfried-Tsonga'],['Mardy-Fish']
6,4,['Jo-Wilfried-Tsonga'],['Mardy-Fish']
5,4,['Roger-Federer'],['Mardy-Fish']
4,8,['Mardy-Fish'],['Florian-Mayer']
66,4,['James-Blake'],['Mardy-Fish']
4,38,['Mardy-Fish'],['Bernard-Tomic']
38,4,['Bernard-Tomic'],['Mardy-Fish']
